3;Die Toten zum Leben erwecken;Level 3 Nekromantie;1 min;3 m;V, G, M;Unmittelbar;"(ein Tropfen Blut, ein Stück Fleisch und eine Prise Knochenstaub) Wähle einen Knochenhaufen oder die Leiche eines mittelgroßen oder kleinen Humanoiden in Reichweite. Das Ziel wird zu einer untoten Kreatur: zu einem Skelett, wenn du Knochen gewählt hast, oder zu einem Zombie, wenn du eine Leiche gewählt hast (siehe Anhang B für die Charakterwerte).<br><br>In jedem deiner Züge kannst du eine Bonus Aktion ausführen, um jede Kreatur, die du mit diesem Zauber erschaffen hast, mental zu befehligen, sofern sich die Kreatur in60 feetdeiner Nähe befindet (wenn du mehrere Kreaturen kontrollierst, kannst du jede von ihnen gleichzeitig befehligen und jedem denselben Befehl erteilen). Du entscheidest, welche Aktion die Kreatur ausführt und wohin sie sich in ihrem nächsten Zug bewegt, oder du kannst einen allgemeinen Befehl erteilen, beispielsweise eine Kammer oder einen Korridor zu bewachen. Wenn du keine Befehle erteilst, führt die Kreatur die Aktion „Ausweichen"" aus und bewegt sich nur, um Schaden zu vermeiden. Sobald ein Befehl erteilt wurde, befolgt die Kreatur diesen so lange, bis ihre Aufgabe erfüllt ist.<br><br>Die Kreatur steht 24 Stunden lang unter deiner Kontrolle; danach befolgt sie keine deiner Befehle mehr. Um die Kontrolle über die Kreatur für weitere 24 Stunden aufrechtzuerhalten, musst du diesen Zauber erneut auf die Kreatur wirken, bevor der aktuelle 24-Stunden-Zeitraum endet. Durch diese Anwendung des Zaubers erlangst du erneut die Kontrolle über bis zu vier Kreaturen, die du mit diesem Zauber zum Leben erweckt hast, anstatt eine neue Kreatur zum Leben zu erwecken.<br><br><b>Auf höheren Level gewirkt:</b>Für jede Zauberstufe über 3 belebst du zwei weitere untote Kreaturen wieder oder übernimmst erneut die Kontrolle über sie. Jede dieser Kreaturen muss von einer anderen Leiche oder einem anderen Knochenhaufen stammen.";Kleriker, Magier;
3;Aura der Vitalität;Level 3 Bannmagie;1 Aktion;Selbst;V;Konzentration, bis zu 1 min;Für die Dauer des30-footZaubers strahlt eine Aura von dir aus. Wenn du die Aura erschaffst und zu Beginn jedes deiner Züge, solange sie andauert, kannst du einer Kreatur in ihrem Wirkungsbereich Lebenspunkte 2d6wiederherstellen.;Kleriker, Druide, Paladin;
3;Leuchtfeuer der Hoffnung;Level 3 Bannmagie;1 Aktion;9 m;V, G;Konzentration, bis zu 1 min;Wähle eine beliebige Anzahl von Kreaturen in Reichweite aus. Für die Dauer erhält jedes Ziel einen Vorteil bei Weisheits- und Todesrettungswürfen und gewinnt durch jede Heilung die maximal mögliche Anzahl an Trefferpunkten zurück.;Kleriker;
3;Fluch auferlegen;Level 3 Nekromantie;1 Aktion;Berührung;V, G;Konzentration, bis zu 1 min;"Du berührst eine Kreatur, die einen WIS-Rettungswurf bestehen muss, sonst wird sie für die Dauer des Zaubers verflucht. Bis der Fluch endet, erleidet das Ziel einen der folgenden Effekte deiner Wahl:<br><br>Wähle eine Fähigkeit aus. Das Ziel erleidet Nachteil bei Fähigkeitsproben und Rettungswürfen, die mit dieser Fähigkeit durchgeführt werden. Das Ziel erleidet Nachteil bei Angriffswürfen gegen dich. Im Kampf muss das Ziel zu Beginn jedes seiner Züge einen WIS-Rettungswurf bestehen oder in diesem Zug die Aktion „Ausweichen"" ausführen. Wenn du dem Ziel mit einem Angriffswurf oder einem Zauber Schaden zufügst, erleidet das Ziel zusätzlich1d8 nekrotischen Schaden.<br><br><b>Auf höheren Level gewirkt:</b>Wenn du diesen Zauber mit einem Zauberslot der Stufe 4 wirkst, kannst du die Konzentration darauf bis zu 10 Minuten lang aufrechterhalten. Wenn du einen Zauberslot der Stufe 5 oder höher verwendest, erfordert der Zauber keine Konzentration, und die Wirkungsdauer beträgt 8 Stunden (Slot der Stufen 5-6) oder 24 Stunden (Slot der Stufen 7-8). Wenn du einen Zauberslot der Stufe 9 verwendest, hält der Zauber so lange an, bis er gebannt wird.";Barde, Kleriker, Magier;
3;Blendender Schlag;Level 3 Hervorrufung;1 Bonus Aktion, die du unmittelbar nach einem Treffer gegen eine Kreatur mit einer Nahkampfwaffe oder einem unbewaffneten Schlag ausführst;Selbst;;1 min;"Das von dem Schlag getroffene Ziel erleidet zusätzlichen3d8Strahlungsschaden durch den Angriff und befindet sich bis zum Ende des Zaubers unter dem Zustand „Geblendet"". Am Ende jedes seiner Züge führt das geblendete Ziel einen Konstitutionsrettungswurf durch; bei Erfolg endet der Zauber für dieses Ziel.<br><br><b>Auf höheren Level gewirkt:</b>Der zusätzliche Schaden erhöht sich um1d8 pro Zauberslot-Stufe über 3.";Paladin;
3;Blinken;Level 3 Verwandlungsmagie;1 Aktion;Selbst;V, G;1 min;"Würfle1d6am Ende jedes deiner Züge, solange der Zauber wirkt. Bei einer Augenzahl von 4-6 verschwindest du aus deiner aktuellen Existenzebene und erscheinst in der Ätherischen Ebene (der Zauber endet Unmittelbar, wenn du dich bereits in dieser Ebene befindest). Während du dich auf der Ätherischen Ebene befindest, kannst du die Ebene, die du verlassen hast, wahrnehmen; sie erscheint in Grautönen, aber du kannst dort nichts weiter als60 feet entfernt sehen. Du kannst nur andere Kreaturen auf der Ätherischen Ebene beeinflussen und von ihnen beeinflusst werden, und Kreaturen auf der anderen Ebene können dich nicht wahrnehmen, es sei denn, sie verfügen über eine besondere Fähigkeit, die es ihnen ermöglicht, Dinge auf der Ätherischen Ebene wahrzunehmen.<br><br>Du kehrst zu Beginn deines nächsten Zuges und bei Ende des Zauberspruchs auf die andere Ebene zurück, sofern du dich auf der Ätherischen Ebene befindest. Du kehrst zu einem freien Feld deiner Wahl zurück, das du innerhalb10 feeteiner Reichweite von vom Feld, das du verlassen hast, sehen kannst. Ist innerhalb dieser Reichweite kein freies Feld verfügbar, erscheinst du auf dem nächstgelegenen freien Feld.";Artificer, Zauberer, Magier;
3;Ruf Lightning an;Level 3 Beschwörung;1 Aktion;36 m;V, G;Konzentration, bis zu 10 min;"Eine Gewitterwolke erscheint an einer Stelle in Sichtweite über dir. Sie hat die Form eines Zylinders, der hoch 10 feetist und einen60-foot Radius hat.<br><br>Wenn du den Zauber wirkst, wähle einen Punkt unter der Wolke, den du sehen kannst. Ein Blitz schießt von der Wolke zu diesem Punkt. Jede Kreatur im Umkreis5 feetvon um diesen Punkt muss einen Geschicklichkeitsrettungswurf durchführen; bei einem misslungenen Rettungswurf erleidet sie3d10 Blitzschaden, bei einem erfolgreichen Rettungswurf nur die Hälfte dieses Schadens.<br><br>Solange der Zauber wirkt, kannst du eine magische Aktion ausführen, um auf diese Weise erneut einen Blitz herabzurufen, wobei du denselben oder einen anderen Punkt als Ziel wählen kannst.<br><br>Wenn du dich beim Wirken dieses Zaubers im Freien in einem Sturm befindest, übergibt dir der Zauber die Kontrolle über diesen Sturm, anstatt einen neuen zu erzeugen. Unter solchen Bedingungen erhöht sich der Schaden des Zaubers um 1W10.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d10 pro Zauberslot-Stufe über 3.";Druide;
3;Hellsehen;Level 3 Erkenntnismagie;10 min;1,584 km;V, G, M;Konzentration, bis zu 10 min;"(ein Fokus im Wert von 100+ GP, entweder ein mit Edelsteinen besetztes Horn zum Hören oder ein Glasauge zum Sehen) Du erschaffst einen unsichtbaren Sensor innerhalb der Reichweite an einem dir vertrauten Ort (einem Ort, den du zuvor besucht oder gesehen hast) oder an einem offensichtlichen Ort, der dir unbekannt ist (wie beispielsweise hinter einer Tür, um eine Ecke oder in einem Wäldchen). Der immaterielle, unverwundbare Sensor bleibt für die gesamte Dauer an Ort und Stelle.<br><br>Wenn du den Zauber wirkst, wähle zwischen Sehen und Hören. Du kannst den gewählten Sinn über den Sensor nutzen, als befändest du dich in dessen Bereich. Als Bonus Aktion kannst du zwischen Sehen und Hören wechseln.<br><br>Ein Wesen, das den Sensor wahrnimmt (z. B. ein Wesen, das von der Fähigkeit „Unsichtbares sehen"" oder „Wahrsicht"" profitiert), sieht einen leuchtenden Ball von etwa der Größe deiner Faust.";Barde, Kleriker, Zauberer, Magier;
3;Tiere beschwören;Level 3 Beschwörung;1 Aktion;18 m;V, G;Konzentration, bis zu 10 min;Du beschwörst Naturgeister, die als großes Rudel geisterhafter, nicht greifbarer Tiere an einem freien Ort erscheinen, den du innerhalb der Reichweite sehen kannst. Das Rudel bleibt für die gesamte Dauer bestehen, und du wählst die Tiergestalt der Geister, beispielsweise Wölfe, Schlangen oder Vögel.<br><br>Solange du dich in5 feetder Nähe des Rudels befindest, erhältst du einen Vorteil bei Stärke-Rettungswürfen, und wenn du dich in deinem Zug bewegst, kannst du das Rudel zudem bis zu30 feet auf ein freies Feld bewegen, das du sehen kannst.<br><br>Immer wenn sich das Rudel auf10 feet einer Kreatur nähert, die du sehen kannst, und immer wenn eine Kreatur, die du sehen kannst, ein Feld innerhalb10 feetvon des Rudels betritt oder ihren Zug dort beendet, kannst du diese Kreatur zwingen, einen DEX-Rettungswurf durchzuführen. Bei einem misslungenen Rettungswurf erleidet die Kreatur 3d10Schadenspunkte durch Schnittwunden. Eine Kreatur darf diesen Rettungswurf nur einmal pro Zug durchführen.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d10 pro Zauberslot-Stufe über 3.;Druide, Waldläufer;
3;Zauber: Sperrfeuer;Level 3 Beschwörung;1 Aktion;Selbst;V, G, M;Unmittelbar;(eine Nahkampf- oder Fernkampfwaffe im Wert von mindestens 1 CP) Du schwenkst die Waffe, mit der du den Zauber gewirkt hast, und beschwörst ähnliche geisterhafte Waffen (oder der Waffe entsprechende Munition), die nach vorne schießen und dann verschwinden. Jede Kreatur deiner Wahl, die du in einem60-footKegel sehen kannst, führt einen DEX-Rettungswurf durch und erleidet bei einem 5d8misslungenen Rettungswurf Kraftschaden oder bei einem erfolgreichen Rettungswurf die Hälfte dieses Schadens.<br><br><b>Auf höheren Level gewirkt:</b>Der Schaden erhöht sich um1d8 pro Zauberslot-Stufe über 3.;Waldläufer;
